Date,Close/Last,Volume,Open,High,Low
10/17/2021,3845.27,N/A,3879.27,3892.01,3834.18
10/16/2021,3878.53,N/A,3841.45,3888.33,3807.52
10/15/2021,3838.15,N/A,3820.26,3872,3823.55
10/14/2021,3823.41,N/A,3644.12,3838.92,3735.21
10/13/2021,3634.98,N/A,3501.01,3654.36,3588.24
10/12/2021,3504.78,N/A,3482.14,3530.76,3482.99
10/11/2021,3486.56,N/A,3518.25,3541.49,3448.79
10/10/2021,3504.81,N/A,3530.96,3513.25,3381.43
10/09/2021,3534.99,N/A,3581.15,3585.01,3489.52
10/08/2021,3583.71,N/A,3574.74,3588.6,3541.4
10/07/2021,3568.28,N/A,3519.74,3617.2,3553.12
10/06/2021,3528.87,N/A,3488.36,3575.43,3473.47
10/05/2021,3490.22,N/A,3388.16,3537.09,3474.41
10/04/2021,3385,N/A,3336.43,3417.42,3365.28
10/03/2021,3336.75,N/A,3402.49,3425.36,3330.58
10/02/2021,3384.23,N/A,3291.54,3424.57,3346.63
10/01/2021,3291.54,N/A,3023.66,3318.59,3275.76
09/30/2021,2975.1,N/A,3026.78,3038.62,2975.1
09/29/2021,3016.7,N/A,2893.27,3018.04,2837.68
09/28/2021,2882.84,N/A,2947.16,2882.9,2791.79
09/27/2021,3100.37,N/A,2820.58,3163.86,3028.61
09/26/2021,3112.18,N/A,2865.22,3163.86,3028.61
09/25/2021,2864.28,N/A,2913.12,2931.22,2844.18
09/24/2021,2913.53,N/A,3075.29,2955.55,2877.27
09/23/2021,3092.07,N/A,3117.77,3158.38,3085.1
09/22/2021,3100.94,N/A,2869.13,3115.73,3035.96
09/21/2021,2877.71,N/A,2999.06,2892.02,2740.58
09/20/2021,3003.49,N/A,3192.78,3029.29,2817.51
09/19/2021,3195.13,N/A,3412.51,3344.04,3169.05
09/18/2021,3421.26,N/A,3451.21,3439.11,3378.86
09/17/2021,3414.66,N/A,3586.93,3423.7,3371.33
09/16/2021,3563.49,N/A,3543.74,3592.2,3530.59
09/15/2021,3541.12,N/A,3400.96,3617.65,3529.31
09/14/2021,3401.87,N/A,3293.4,3446.07,3388.95
09/13/2021,3313.62,N/A,3271.87,3336.43,3270.91
09/12/2021,3293.51,N/A,3323.12,3429.24,3277.53
09/11/2021,3321.37,N/A,3236.68,3323.46,3231.87
09/10/2021,3229.21,N/A,3465.67,3296.07,3202.41
09/09/2021,3455.26,N/A,3471.94,3512.9,3414.16
09/08/2021,3458.75,N/A,3429.4,3519.74,3437.66
09/07/2021,3438.57,N/A,3913.94,3539.43,3382.59
09/06/2021,3914.16,N/A,3904.17,3945.79,3888.96
09/05/2021,3915.07,N/A,3933.7,3915.19,3834.74
09/04/2021,3848.31,N/A,3917.73,3913.17,3846.37
09/03/2021,3927.73,N/A,3806.8,3968.33,3906.11
09/02/2021,3806.62,N/A,3765.38,3813.54,3715.97
09/01/2021,3755.01,N/A,3441.27,3833.89,3737.6
08/31/2021,3432.28,N/A,3237.78,3445,3384.82
08/30/2021,3239.93,N/A,3161.72,3248.36,3191.34
08/29/2021,3159.02,N/A,3180.1,3229.22,3145.53
08/28/2021,3178.72,N/A,3244.9,3282.21,3162.8
08/27/2021,3244.45,N/A,3093.6,3284.58,3240.6
08/26/2021,3089.61,N/A,3098.74,3249.62,3067.03
08/25/2021,3147.62,N/A,3175.85,3249.62,3141.64
08/24/2021,3174.84,N/A,3324.16,3215.4,3168.77
08/23/2021,3324.24,N/A,3339.98,3349.32,3283.8
08/22/2021,3338.45,N/A,3226.66,3347.77,3231.96
08/21/2021,3223.84,N/A,3276.93,3256.9,3217.65
08/20/2021,3279.02,N/A,3217.77,3287.68,3236.82
08/19/2021,3215.36,N/A,2970.04,3242.92,3179.18
08/18/2021,2979.4,N/A,3041.04,3049.51,2970.75
08/17/2021,3034.38,N/A,3192.7,3044.08,2951.04
08/16/2021,3194.06,N/A,3261.32,3207.66,3116.21
08/15/2021,3270.12,N/A,3247.66,3334.22,3270.12
08/14/2021,3264.1,N/A,3295.37,3286.68,3252
08/13/2021,3295.54,N/A,3094.71,3324.73,3284.34
08/12/2021,3095.8,N/A,3211.57,3100.4,3035.52
08/11/2021,3225.43,N/A,3159.12,3236.28,3151.37
08/10/2021,3155.89,N/A,3115.36,3185.53,3122.67
08/09/2021,3108.45,N/A,2948.39,3198.81,3097.56
08/08/2021,2955.74,N/A,3119.86,3032.96,2900.6
08/07/2021,3119.42,N/A,2936.51,3188.49,3080.83
08/06/2021,2934.97,N/A,2761.73,2935.44,2867.58
08/05/2021,2757.81,N/A,2712.3,2840.9,2757.81
08/04/2021,2709.28,N/A,2484.9,2740.75,2671.34
08/03/2021,2500.93,N/A,2532.75,2536.06,2483.36
08/02/2021,2521.64,N/A,2561.3,2631.43,2521.6
08/01/2021,2561.15,N/A,2615.99,2578.49,2513.51
07/31/2021,2606.62,N/A,2463.26,2606.62,2515.26
07/30/2021,2463.06,N/A,2423.46,2480.36,2443.02
07/29/2021,2425,N/A,2278.45,2447.62,2368.46
07/28/2021,2283.3,N/A,2300.7,2304.48,2269.15
07/27/2021,2293.37,N/A,2166.27,2333.2,2268.02
07/26/2021,2182.63,N/A,2302.93,2240.27,2152.92
07/25/2021,2306.04,N/A,2151.85,2334.39,2174.44
07/24/2021,2151.35,N/A,2063.8,2162.29,2106.71
07/23/2021,2118.68,N/A,2064.69,2129.47,2106.71
07/22/2021,2056.82,N/A,1963.31,2072.6,2014.9
07/21/2021,1977.77,N/A,1793.9,2022.02,1963
07/20/2021,1798.7,N/A,1750.25,1807.68,1758.64
07/19/2021,1729.57,N/A,1887.26,1840.36,1720.7
07/18/2021,1888.19,N/A,1981.38,1906.09,1866.6
07/17/2021,1976.62,N/A,1867.04,1988.23,1898.01
07/16/2021,1870.38,N/A,1950.8,1898.65,1858.96
07/15/2021,1947.4,N/A,1980.2,1956.17,1898.83
07/14/2021,1982.3,N/A,1884.94,2038.91,1975.73
07/13/2021,1878.55,N/A,2029.52,1944.17,1868.67
07/12/2021,2031.42,N/A,2164.62,2042.61,2015.04
07/11/2021,2167.08,N/A,2088.69,2167.43,2126.53
07/10/2021,2089.53,N/A,2133.62,2137.97,2087.18
07/09/2021,2135.68,N/A,2117.86,2191.3,2125.15
07/08/2021,2117.86,N/A,2254.97,2121.27,2079.41
07/07/2021,2260.35,N/A,2339.09,2322.47,2239.94
07/06/2021,2333.62,N/A,2236.97,2341.25,2296.43
07/05/2021,2230.21,N/A,2265.22,2248.15,2194.2
07/04/2021,2256.11,N/A,2224.7,2322.6,2247.49
07/03/2021,2227.7,N/A,2101.99,2236.97,2115.8
07/02/2021,2122.05,N/A,2041.94,2164.3,2115.8
07/01/2021,2049.73,N/A,2185.82,2132.95,2048.19
06/30/2021,2190.22,N/A,2124.71,2274.63,2184.31
06/29/2021,2130.08,N/A,2103.95,2186.03,2123.73
06/28/2021,2102.82,N/A,1966.79,2139.52,2076.17
06/27/2021,1970.68,N/A,1882.78,1994.48,1962.89
06/26/2021,1881.53,N/A,1820.25,1887.9,1813.79
06/25/2021,1822.86,N/A,1997.54,1839.01,1795.61
06/24/2021,1997.79,N/A,1907.23,2017.47,1964.07
06/23/2021,1896.95,N/A,2013.39,1975.26,1886.74
06/22/2021,2004.42,N/A,1976.78,2031.06,1823.57
06/21/2021,1982.71,N/A,2156.65,1994.32,1864.52
06/20/2021,2158.98,N/A,2182.5,2257.86,2158.98
06/19/2021,2187.34,N/A,2188.41,2192.1,2146.72
06/18/2021,2180.05,N/A,2341.96,2254.28,2173.52
06/17/2021,2346.86,N/A,2434.33,2376.62,2312.4
06/16/2021,2429.97,N/A,2522.01,2437.88,2361.32
06/15/2021,2524.44,N/A,2586.46,2544.35,2501.93
06/14/2021,2590.68,N/A,2478.38,2620.4,2569.79
06/13/2021,2472.22,N/A,2336.4,2523.59,2469.02
06/12/2021,2334.35,N/A,2302.03,2415.86,2323.45
06/11/2021,2277.78,N/A,2465.16,2363.77,2260.8
